sku,Товар,Цена Kaspi,Продавать
0288140200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (cредне-жесткий/cредне-мягкий) 1,40*2,00",171500,да
0288120200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (cредне-жесткий/cредне-мягкий) 1,20*2,00",153000,да
0288160200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (cредне-жесткий/cредне-мягкий) 1,60*2,00",189200,да
0289090200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (средне-жесткий/жесткий) 0,90*2,00",141800,да
0289140200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (средне-жесткий/жесткий) 1,40*2,00",170700,да
0289120200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (средне-жесткий/жесткий) 1,20*2,00",152200,да
0289160200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (средне-жесткий/жесткий) 1,60*2,00",188400,да
0291180200,"Матрас ортопедический ""НАДЁЖНЫЙ МОНО"" (средне-жесткий ) 1,80*2,00",170900,да
0292160200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-жесткий) 1,60*2,00",163300,да
0292090200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-жесткий) 0,90*2,00",112600,да
0292180200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-жесткий) 1,80*2,00",177100,да
0292140200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-жесткий) 1,40*2,00",148700,да
0292120200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-жесткий) 1,20*2,00",133300,да
0293180200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-мягкий) латекс 1,80*2,00",195600,да
0293140200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-мягкий) латекс 1,40*2,00",163000,да
0293120200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-мягкий) латекс 1,20*2,00",146000,да
0293160200,"Матрас ортопедический ""НАНОТЕКС МОНО"" (средне-мягкий) латекс 1,60*2,00",179100,да
0299180200,"Матрас ортопедический ""ОРГАНИК EVS 500"" (средне-жесткий ) 1,80*2,00",164300,да
0299140200,"Матрас ортопедический ""ОРГАНИК EVS 500"" (средне-жесткий ) 1,40*2,00",138100,да
0299120200,"Матрас ортопедический ""ОРГАНИК EVS 500"" (средне-жесткий ) 1,20*2,00",124200,да
0299090190,"Матрас ортопедический ""ОРГАНИК EVS 500"" (средне-жесткий ) 0,90*1,90",105300,да
0299160200,"Матрас ортопедический ""ОРГАНИК EVS 500"" (средне-жесткий ) 1,60*2,00",151200,да
0300090200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС МОНО"" (средне-жесткий) ( Organic) 0,90*2,00",115600,да
0300180200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС МОНО"" (средне-жесткий) ( Organic) 1,80*2,00",185100,да
0300140200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС МОНО"" (средне-жесткий) ( Organic) 1,40*2,00",154000,да
0300120200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС МОНО"" (средне-жесткий) ( Organic) 1,20*2,00",137500,да
0300160200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС МОНО"" (средне-жесткий) ( Organic) 1,60*2,00",169400,да
0301090200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС"" (средне-мягкий/мягкий) 0,90*2,00",132100,да
0301180200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС"" (средне-мягкий/мягкий) 1,80*2,00",218600,да
0301140200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС"" (средне-мягкий/мягкий) 1,40*2,00",180300,да
0301120200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС"" (средне-мягкий/мягкий) 1,20*2,00",160400,да
0301160200,"Матрас ортопедический ""ОРГАНИК ДЕ ЛЮКС"" (средне-мягкий/мягкий) 1,60*2,00",199600,да
0314090200,"Матрац пружинный, модель P333 0,90*2,00",83700,да
0314120200,"Матрац пружинный, модель P333 1,20*2,00",101200,да
0317180200,"Матрас анатомический ""Fiesta"" (F2023026) 1,80*2,00",135700,да
0317160200,"Матрас анатомический ""Fiesta"" (F2023026) 1,60*2,00",125100,да
0318180200,"Матрас анатомический ""Foster"" (F2023027) 1,80*2,00",153200,да
0319200200,"Матрас анатомический ""ПАРАДОКС ЛЮКС"" 2,00*2,00",286700,да
0319180200,"Матрас анатомический ""ПАРАДОКС ЛЮКС"" 1,80*2,00",262400,да
